

UB BASIC GSM KPIs(Cluster-CELL)
Save Time :2023-02-10 08:22:50
User Name :HW_RF_NASTAR

Date,GCell Group,Integrity,TCH Availability%_South,Total SDCCH Traffic (Erl)_South,Total TCH Traffic (Erl)_South,VAMOS Traffic,TCH AMR-FR Traffic (Erl)_South,TCH AMR-HR Traffic (Erl)_South,SDCCH Blocking%_South,TCH Blocking% (Call Setup)_South,TCH Blocking% (Mobility - InterCell HO)_South,DCR%_South,CSSR_Non Blocking,HSR%_South,In-HSR%_South,Out-HSR%_South,DL RxQual Index%_South,UL RxQual Index%_South,CEFR,SDCCH DR%_South,Total TCH Drops_South,Call Drop due to ABIS terrestrial link_South,Interference Band 345,K3001:Failed SDCCH Seizures due to Busy SDCCH,K3011A:Failed TCH Seizures due to Busy TCH (Traffic Channel),Initially Configured SDCCH_South,1800 TRX Count,900 TRX Count,"A3129B:Failed Assignments (First Assignment, Terrestrial Resource Request Failed)"
2023-02-02,KOHAT_CLUSTER_02_Rural,100%,95.3239,14283.2261,112710.6077,12225.6733,14922.1623,96609.9606,0.194,2.1666,1.9652,0.5966,99.5824,97.5433,97.5487,97.5378,97.9728,99.2191,0.3857,0.032,38667,1058,4.5914,20329,71558,10873,796,983,192
2023-02-02,2G_USF_NPM_North,100%,94.8102,12386.8918,84245.0826,12917.2919,7739.3274,74765.9848,0.2713,5.5771,3.9675,1.1069,99.3652,97.013,96.9394,97.0865,97.6155,98.7513,0.5264,0.1089,44550,932,2.0557,22710,134088,7997,449,750,555
2023-02-03,BANNU_CLUSTER_01_Rural,100%,97.508,34677.9688,235057.4572,24245.9516,27351.1025,200675.5285,0.7393,5.3749,3.888,0.8494,99.0682,96.6298,96.6289,96.6307,96.7526,98.9175,0.9134,0.0185,106938,7030,6.2649,172524,415261,24558,1676,1842,3936
2023-02-03,KOHAT_CLUSTER_01_Rural,100%,99.5982,8381.0236,62126.3107,3679.1251,15457.0198,46070.0755,0.1686,0.046,0.4278,0.3796,99.7467,97.6204,97.6007,97.64,98.3675,99.5194,0.2261,0.0273,13714,108,3.645,10953,813,6418,575,597,962
2023-02-03,KOHAT_CLUSTER_01_Urban,100%,99.9945,1855.1248,12490.8819,833.5445,2719.007,9740.6333,0.1082,0.2211,0.021,0.3729,99.8292,97.9385,98.0859,97.787,98.748,99.5985,0.1669,0.0039,2836,0,7.382,1576,898,1427,125,123,62
2023-02-03,KOHAT_CLUSTER_02_Rural,100%,97.3122,13823.8764,111775.0896,12635.1596,14646.2618,95880.3609,0.2963,1.6316,1.4392,0.6119,99.6048,97.5676,97.5688,97.5664,97.9527,99.3342,0.3675,0.0278,38270,980,3.3619,30571,52132,10873,796,983,1946
2023-02-03,2G_USF_NPM_North,100%,96.1889,12894.5954,85227.491,13196.9283,7626.2747,75755.7044,0.3203,5.7588,3.8068,1.1464,99.2323,96.8967,96.8595,96.9338,97.5853,98.7565,0.6678,0.1006,47048,891,1.6994,27795,143293,7997,449,750,9220
2023-02-04,BANNU_CLUSTER_01_Rural,100%,97.7635,34232.2201,232128.5457,23946.8165,28212.2048,197349.5682,0.7099,4.1115,3.5368,0.8988,99.0761,96.6084,96.6098,96.6069,96.8573,98.72,0.8964,0.0277,114565,1455,9.4367,161752,313534,24558,1676,1842,2164
2023-02-04,KOHAT_CLUSTER_01_Rural,100%,99.3364,8229.7279,63886.7643,3847.7521,15672.9331,47567.9752,0.1121,0.1031,0.7228,0.3508,99.7365,97.6344,97.5888,97.68,98.3372,99.5146,0.2326,0.031,13387,99,3.6865,7250,1944,6418,575,597,1124
2023-02-04,KOHAT_CLUSTER_01_Urban,100%,99.4022,1948.4709,13718.1266,1013.1782,2716.9464,10968.194,0.0617,0.3743,0.0524,0.3489,99.8386,98.0659,98.2606,97.8658,98.7464,99.6088,0.1572,0.0042,3063,7,7.555,955,1738,1427,125,123,4
2023-02-04,KOHAT_CLUSTER_02_Rural,100%,96.5145,14160.3327,113623.9998,12639.4793,15312.8179,97100.9425,0.0915,1.3766,1.6626,0.5923,99.6088,97.5456,97.5401,97.5511,97.9979,99.1995,0.3625,0.0287,39120,639,4.9383,9590,45740,10873,796,983,645
2023-02-04,2G_USF_NPM_North,100%,97.7311,12938.0268,86980.6729,13361.4266,8162.3123,77022.2144,0.1412,5.4183,3.5511,1.0775,99.3528,97.0724,97.0808,97.0641,97.6239,98.7417,0.5473,0.1004,45710,396,1.9287,12322,137051,7997,449,750,2553
2023-02-05,BANNU_CLUSTER_01_Rural,99%,98.1496,34113.0149,227117.3011,23289.8744,28260.91,192850.6154,0.5708,4.0082,2.2827,0.9262,98.9539,96.4515,96.453,96.4501,96.8013,98.7336,1.0206,0.0258,113280,1097,10.1365,128144,294507,24557.3333,1675,1842,8106
2023-02-05,KOHAT_CLUSTER_01_Rural,100%,99.8765,8396.2673,62909.3168,4019.2326,15391.9848,46879.1547,0.0707,0.0867,0.9124,0.3393,99.7122,97.6596,97.6305,97.6886,98.3635,99.5093,0.2594,0.0285,12734,47,3.7717,4657,1606,6418,575,597,3299
2023-02-05,KOHAT_CLUSTER_01_Urban,100%,99.9945,1883.2152,12970.0943,914.7672,2661.3119,10276.5697,0.0136,0.1467,0.0362,0.3585,99.8302,98.019,98.1595,97.875,98.7763,99.6175,0.1651,0.0047,2919,0,7.5213,204,633,1427,125,123,172
2023-02-05,KOHAT_CLUSTER_02_Rural,100%,96.5427,14012.6719,110730.9686,12164.6857,15294.9855,94233.3887,0.1421,1.4638,1.5765,0.6174,99.5872,97.5838,97.583,97.5847,97.987,99.2001,0.3834,0.0295,38878,876,4.9965,14693,46347,10873,796,983,3114
2023-02-05,2G_USF_NPM_North,100%,97.3007,13043.8519,86485.6537,13395.9691,8054.2972,76648.5815,0.155,5.5682,4.7131,1.1273,99.3089,96.9847,96.9319,97.0372,97.5768,98.7389,0.5811,0.1106,46789,261,2.0898,13537,137817,7997,449,750,2927
2023-02-06,BANNU_CLUSTER_01_Rural,100%,97.5978,34198.6071,234116.3907,24634.1112,28167.3145,199555.5142,0.5893,4.2896,3.9155,0.905,98.9972,96.5731,96.5747,96.5715,96.8674,98.7655,0.977,0.026,118477,993,9.9557,133329,335854,24558,1676,1842,611
